Protein Type	Protein Names	Accession ID	Previously identified Homologs
Hypothalamic-Pituitary Axis Hormones	Follitropin subunit beta	P01225	N
Hypothalamic-Pituitary Axis Hormones	Somatotropin Growth hormone	P01241	N
Hypothalamic-Pituitary Axis Hormones	Peptide YY (PYY)	P10082	N
Gastrointestinal 	Promotilin Cleaved into Motilin (Motilin-associated peptide MAP)	P12872	N
Gastrointestinal 	Vasoactive intestinal peptide (VIP)	P01282	N
Gastrointestinal 	Pituitary adenylate cyclase-activating peptide (PACAP)	P18509	Y
Gastrointestinal 	Bradykinin	P46663	N
Gastrointestinal 	Atrial natriuretic peptide (ANP) or Natriuretic peptides A	P01160	Y
Gastrointestinal 	Brain natriuretic peptide (BNP) or Natriuretic peptides B	P16860	N
Gastrointestinal 	Calcitonin	P01258	N
Gastrointestinal 	Calcitonin gene-related peptide (CGRP)	P06881	N
Gastrointestinal 	Bombesin	P32247	N
Neuropeptides and Neurotransmitter	Proenkephalin-A	P01210	N
Neuropeptides and Neurotransmitter	Proenkephalin-B	P01213	N
Neuropeptides and Neurotransmitter	Neuropeptide S (NPS)	P0C0P6	N
Neuropeptides and Neurotransmitter	Neurotensin	P30990	N
Neuropeptides and Neurotransmitter	Tachykinin (Substance P)	P20366	N
Neuropeptides and Neurotransmitter	Neuropeptide W (NPW)	Q8N729	Y
Neuropeptides and Neurotransmitter	Prokineticin-1	Q8NFJ6	Y
Neuropeptides and Neurotransmitter	Prokineticin-2	Q9HC23	Y
Neuropeptides and Neurotransmitter	Neuropeptide FF (NPFF)	O15130	N
Neuropeptides and Neurotransmitter	Neuropeptide Y (NPY)	P01303	Y
Neuropeptides and Neurotransmitter	Neuromedin U (NMU)	P48645	Y
Neuropeptides and Neurotransmitter	Nociceptin (Orphanin FQ)	Q13519	Y
Neuropeptides and Neurotransmitter	Neuromedin B (NMB)	P08949	Y
Neuropeptides and Neurotransmitter	Neuropeptide B (NPB)	Q8NG41	Y
Neuropeptides and Neurotransmitter	Neuromedin S	Q5H8A3	Y
Neuropeptides and Neurotransmitter	Catestatin or Chromogranin-A	P10645	Y
Neuropeptides and Neurotransmitter	Urocortin II (stresscopin-related peptide)	Q96RP3	Y
Neuropeptides and Neurotransmitter	Urocortin III	Q969E3	Y
Neuropeptides and Neurotransmitter	Urotensin I	P55089	Y
Neuropeptides and Neurotransmitter	Urotensin II	O95399	Y
Neuropeptides and Neurotransmitter	Kisspeptin or Metastasis-suppressor KiSS-1	Q15726	Y
