Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 1	QRE02559.1	hypothetical protein [Otarine gammaherpesvirus 4]	299	Otarine gammaherpesvirus 4	1.17E-77	135	184	Genomic Viruses	3068389	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa6-1
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 409	gb|QRE02559.1|	hypothetical protein [Otarine gammaherpesvirus 4]	299	Otarine gammaherpesvirus 4	7.25E-12	69	106	Other	3068389	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa6-1
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 2	QKU35004.1	cyclin domain fused to cyclin-dependent serine/threonine protein kinase [Tupanvirus soda lake]	548	Tupanvirus soda lake	2.36E-60	112	169	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 284	QKU35565.1	putative serine/threonine-protein kinase [Tupanvirus soda lake]	650	Tupanvirus soda lake	1.58E-18	66	118	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 307	AUL78591.2	hypothetical protein [Tupanvirus soda lake]	484	Tupanvirus soda lake	4.78E-18	65	106	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Transcription Factors	P19838_blast_results.txt	P19838	Hit 128	QKU34938.1	hypothetical protein [Tupanvirus soda lake]	1442	Tupanvirus soda lake	7.18E-11	70	107	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Antiviral Proteins	P20591_blast_results.txt	P20591	Hit 19	QKU35298.1	dynamin family protein [Tupanvirus soda lake]	665	Tupanvirus soda lake	6.38E-08	70	122	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Structural 	Q02388_blast_results.txt	Q02388	Hit 976	QKU35040.1	hypothetical protein [Tupanvirus soda lake]	1508	Tupanvirus soda lake	9.04E-67	370	504	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Structural 	Q02388_blast_results.txt	Q02388	Hit 2393	QKU35672.1	collagen alpha-1(XXVII) chain flags precursor [Tupanvirus soda lake]	959	Tupanvirus soda lake	1.21E-47	254	333	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Structural 	Q02388_blast_results.txt	Q02388	Hit 2839	QKU34656.1	collagen-like protein [Tupanvirus soda lake]	789	Tupanvirus soda lake	6.56E-43	202	251	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Cell Cycle Regulation Proteins	P06493_blast_results.txt	P06493	Hit 324	QKU34990.1	putative serine threonine-protein kinase [Tupanvirus soda lake]	625	Tupanvirus soda lake	4.34E-18	85	140	Genomic Viruses	2724325	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage V05
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 3	QBK86272.1	MAG: cyclin-dependent protein kinase [Marseillevirus LCMAC102]	478	Marseillevirus LCMAC102	9.45E-58	117	176	Genomic Viruses	2109586	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Megavirus	Megavirus vitis
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 4	QBK88108.1	MAG: cyclin-dependent protein kinase [Marseillevirus LCMAC202]	492	Marseillevirus LCMAC202	9.64E-58	114	169	Genomic Viruses	1913040	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Methylophilaceae phage P19250A
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 24	QBK87748.1	MAG: cyclin-dependent protein kinase [Marseillevirus LCMAC202]	666	Marseillevirus LCMAC202	9.09E-40	108	157	Genomic Viruses	1913040	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Methylophilaceae phage P19250A
Cell Cycle Regulation Proteins	Q00526_blast_results.txt	Q00526	Hit 558	QBK88316.1	MAG: putative serine/threonine protein kinase [Marseillevirus LCMAC202]	309	Marseillevirus LCMAC202	6.01E-16	69	109	Genomic Viruses	1913040	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Methylophilaceae phage P19250A
Cell Cycle Regulation Proteins	Q00535_blast_results.txt	Q00535	Hit 298	QBK87843.1	MAG: putative serine/threonine protein kinase [Marseillevirus LCMAC202]	350	Marseillevirus LCMAC202	2.97E-17	84	136	Genomic Viruses	1913040	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Methylophilaceae phage P19250A
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 5	QKU33762.1	hypothetical protein [Tupanvirus deep ocean]	548	Tupanvirus deep ocean	4.20E-57	108	165	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 238	QKU34405.1	putative SNF1-related protein kinase catalytic subunit alpha KIN11-like [Tupanvirus deep ocean]	432	Tupanvirus deep ocean	7.21E-20	64	106	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 256	QKU34304.1	putative serine/threonine-protein kinase [Tupanvirus deep ocean]	650	Tupanvirus deep ocean	4.32E-19	64	110	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
