Protein Type	Protein Names	File Name	Accession ID	Hit Number	Hit ID	Hit Length	Species	Query Definition	Hsp Bit Score	Hsp Score	Hsp E-value	Identity	Positives	Gaps	Hsp Qseq	Hsp Hseq	Database
Structural	Collagen	Q02388_blastp_results.txt	Q02388	1	RDW91648.1	2112	Coleophoma crateriformis	>RDW91648.1 hypothetical protein BP5796_02813 [Coleophoma crateriformis]	N/A	506	3.00E-142	39.69	789/1688	242/1688	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	1	RDW91648.1	2112	Coleophoma crateriformis	>RDW91648.1 hypothetical protein BP5796_02813 [Coleophoma crateriformis]	N/A	478	2.00E-133	38.72	718/1609	267/1609	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	1	RDW91648.1	2112	Coleophoma crateriformis	>RDW91648.1 hypothetical protein BP5796_02813 [Coleophoma crateriformis]	N/A	434	1.00E-119	39.21	630/1344	175/1344	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	1	RDW91648.1	2112	Coleophoma crateriformis	>RDW91648.1 hypothetical protein BP5796_02813 [Coleophoma crateriformis]	N/A	431	1.00E-118	37.75	672/1502	240/1502	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	1	RDW91648.1	2112	Coleophoma crateriformis	>RDW91648.1 hypothetical protein BP5796_02813 [Coleophoma crateriformis]	N/A	342	6.00E-91	40.53	473/1024	135/1024	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	1	RDW91648.1	2112	Coleophoma crateriformis	>RDW91648.1 hypothetical protein BP5796_02813 [Coleophoma crateriformis]	N/A	311	1.00E-81	36.22	531/1248	281/1248	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	1	RDW91648.1	2112	Coleophoma crateriformis	>RDW91648.1 hypothetical protein BP5796_02813 [Coleophoma crateriformis]	N/A	232	1.00E-57	40.03	298/657	87/657	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	2	VUC28706.1	1491	Clonostachys rosea	>VUC28706.1 unnamed protein product [Clonostachys rosea]	N/A	441	3.00E-124	42.46	591/1173	142/1173	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	2	VUC28706.1	1491	Clonostachys rosea	>VUC28706.1 unnamed protein product [Clonostachys rosea]	N/A	427	8.00E-120	40.54	568/1147	144/1147	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	2	VUC28706.1	1491	Clonostachys rosea	>VUC28706.1 unnamed protein product [Clonostachys rosea]	N/A	422	4.00E-118	41.25	598/1188	137/1188	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	2	VUC28706.1	1491	Clonostachys rosea	>VUC28706.1 unnamed protein product [Clonostachys rosea]	N/A	400	6.00E-111	40.52	573/1187	187/1187	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	2	VUC28706.1	1491	Clonostachys rosea	>VUC28706.1 unnamed protein product [Clonostachys rosea]	N/A	370	2.00E-101	40.04	530/1069	113/1069	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	2	VUC28706.1	1491	Clonostachys rosea	>VUC28706.1 unnamed protein product [Clonostachys rosea]	N/A	368	2.00E-100	39.91	553/1140	137/1140	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	2	VUC28706.1	1491	Clonostachys rosea	>VUC28706.1 unnamed protein product [Clonostachys rosea]	N/A	341	8.00E-92	39.74	481/1014	143/1014	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	2	VUC28706.1	1491	Clonostachys rosea	>VUC28706.1 unnamed protein product [Clonostachys rosea]	N/A	181	3.00E-42	40.87	247/504	70/504	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	431	3.00E-121	41.37	587/1194	181/1194	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	431	4.00E-121	39.95	602/1249	210/1249	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	416	4.00E-116	41.12	571/1160	167/1160	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	380	1.00E-104	39.65	555/1155	165/1155	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	366	6.00E-100	40.49	565/1151	153/1151	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	365	1.00E-99	39.94	516/1064	175/1064	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	360	3.00E-98	38.98	556/1152	165/1152	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	356	9.00E-97	39.3	550/1150	178/1150	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	355	2.00E-96	39.27	530/1100	125/1100	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	202	1.00E-48	38.92	306/632	104/632	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	3	CAH0025953.1	1463	Clonostachys rhizophaga	>CAH0025953.1 unnamed protein product [Clonostachys rhizophaga]	N/A	191	2.00E-45	40.86	250/514	83/514	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	414	7.00E-116	40.34	567/1165	178/1165	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	400	2.00E-111	40.72	577/1164	159/1164	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	390	7.00E-108	39.93	563/1142	168/1142	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	384	5.00E-106	40.76	575/1158	144/1158	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	373	3.00E-102	40.59	572/1143	149/1143	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	372	5.00E-102	40.18	547/1125	168/1125	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	367	3.00E-100	41.64	522/1035	104/1035	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	356	8.00E-97	40.35	490/1031	144/1031	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	335	3.00E-90	41.79	501/993	104/993	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	333	1.00E-89	41.43	438/869	129/869	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	261	7.00E-67	41.15	367/729	71/729	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	4	CAG9939647.1	1438	Clonostachys rosea f. rosea IK726	>CAG9939647.1 unnamed protein product [Clonostachys rosea f. rosea IK726]	N/A	202	1.00E-48	42.66	269/511	42/511	Query	Subject	Fungal
Structural	Collagen	Q02388_blastp_results.txt	Q02388	5	CAH0054779.1	1459	Clonostachys solani	>CAH0054779.1 unnamed protein product [Clonostachys solani]	N/A	412	3.00E-115	39.95	615/1269	213/1269	Query	Subject	Fungal
